feature,f-score,p-value
DRNEG,40.9839107910847,1.5560779847409167e-10
WFMrw,33.689438304339596,6.5258924782468585e-09
WFRCadji,33.070870301272876,8.966627990511397e-09
DESWLlt,31.560330717538633,1.949402793256494e-08
DESCWLltd,31.003406874035967,2.5963639034450535e-08
LDTTRa,30.743071844364295,2.96871540882807e-08
DESWCUi,30.74307184431641,2.9687154088980284e-08
PSYFM3,30.567836364134024,3.249031946399399e-08
DESLLlt,26.88825370672763,2.168726739679384e-07
WRDPRP2s,25.897529755268433,3.620604052452585e-07
DESWLsy,25.2252388968115,5.128373197514983e-07
SECLOSalld,25.08991659770486,5.500854654671997e-07
DRSCONJ,24.33894297979968,8.119333408650184e-07
WRDPRP1p,24.27165909311009,8.407733548653709e-07
WRDVERB,22.398479341290347,2.224937897568196e-06
DESWLsyd,22.056953751939904,2.657745243534968e-06
LDTTRLifn,20.211066591929406,6.959328049292188e-06
PSYIM3,19.179356792375202,1.1936998829954936e-05
CNCCaus,18.896721865944098,1.3841422639406706e-05
DESWLltd,16.3916382074414,5.163290397227312e-05
PSYAoA0,14.340372293201986,0.00015283602671036994
LDTTRLpron,14.229719359700187,0.0001620857459773259
CRFSO1,12.595797118173259,0.00038716783736275775
CNCAll,11.490517555017842,0.0007003642934915661
WFRCadvi,11.175584213373522,0.0008297562375272258
WRDPRP3s,10.718902946175906,0.0010615884338309452
PSYARO0,9.692132210464925,0.0018522148331251015
PSYARO1,9.689282045319967,0.0018550891923362009
CNCTemp,9.679700715925808,0.0018647850436920859
DESCWLsyd,9.507077118818158,0.0020485474849108788
PSYVAL2,9.466174567958637,0.0020947171202883585
CNCLogic,8.901065903217372,0.002852188079776145
DESSC,8.259125459532855,0.004057429923061805
DESPL,8.259125459532855,0.004057429923061805
WRDADV,6.94342447715234,0.008416835970591154
PSYARO2,6.94202156949596,0.008423438250042707
CNCAdd,6.700491285069982,0.009642985406466811
TSSRlg,6.498275587415977,0.010802532644448512
WFRCadv,5.709992361031845,0.016874354922256047
PSYC2,5.640472191099134,0.017556327449524546
WRDPRP3p,5.444279288189467,0.019638663328201942
WFRCadj,4.939281758793135,0.02625989296663366
DESSCi,4.738717085193463,0.029498326087184928
CRFCWO1d,4.218808672958102,0.03998631121120186
TSSRmd,3.6753283157970125,0.05523225420626667
DRGER,3.576699939819607,0.05860445270569986
SECLOSadjd,3.5005337596217796,0.06135815506834628
PSYAoA1,3.477917395363603,0.062202094044380915
PSYARO,2.8179161210206662,0.0932270998415442
PSYVAL,2.8179161210206662,0.0932270998415442
LDDadv,2.061322279227759,0.1510887782784396
DRCCONJ,1.9691857651143934,0.16054399972785563
LDTTRLadj,1.6627353223584653,0.1972437128519185
LDDadj,1.5986900620925684,0.20609813859996667
SYNCLS4,1.4837331111714531,0.22320031873655652
WRDPRP2p,1.1257414590146753,0.28869351227057416
PSYC0,1.0535610918526865,0.3046961027806358
SYNCLS1,0.7521994303587133,0.3857872615222797
PSYARO3,0.7504264588616109,0.38634772770646675
DESLLltd,0.7281455943491301,0.3934913098236943
CNCADC,0.5185244954208336,0.47147701934014175
PSYFM0,0.4928713893716919,0.48265432833583344
DESWNSLltd,0.47890166597442546,0.4889252501195789
LDTTRadj,0.4213330440377495,0.5162772793989485
SYNCLS6,0.182636904721816,0.6691197217993274
SYNCLS7,0.11134890867483542,0.7386158001891341
WRDADJ,0.093922698825864,0.7592502516438239
SYNCLS5,0.05913643642524613,0.8078676363858048
SYNCLS3,0.040625604561885846,0.8402636053853199
RDMU,0.035761147997637625,0.8500107935790555
WRDPRP1s,0.013069191415669982,0.908984397312788
